experiment3, Bin+, Allstate, MultiTree, 2, 10, 84135027.690000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 10, 81685217.194000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 10, 81591258.522000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 10, 124312850.359000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 10, 124826353.393000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 10, 124333600.396000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 15, 62272215.914000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 15, 57841899.423000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 15, 57819867.799000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 15, 58948530.231000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 15, 57866111.273000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 15, 57829339.071000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 15, 61612415.644000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 15, 56968480.265000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 15, 56641788.015000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 15, 61962853.690000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 15, 59514245.874000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 15, 59455802.017000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 15, 60427464.630000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 15, 57540284.435000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 15, 57576702.074000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 15, 63417228.589000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 15, 57182935.872000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 15, 58532432.327000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 15, 58900244.047000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 15, 52955332.728000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 15, 53301402.156000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 15, 67342389.652000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 15, 65745537.944000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 15, 66737251.547000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 15, 101262140.769000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 15, 97922397.989000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 15, 99064246.027000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 15, 161120650.220000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 15, 157367779.991000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 15, 157222708.221000, 1
