experiment3, Bin+, Higgs, MultiTree, 8, 15, 20515849.260000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 26685997.571000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 26084123.328000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 26149565.033000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 40303365.588000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 40025540.901000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 40069381.379000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 65712058.202000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 88180906.968000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 100421768.108000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 0, 11321086.523000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 0, 9582973.866000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 0, 10408840.354000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 0, 11835186.483000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 0, 8802802.257000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 0, 9222941.959000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 0, 9408504.681000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 0, 9148258.635000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 0, 6619556.283000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 0, 5889256.065000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 0, 5579579.983000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 0, 5508156.937000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 0, 3650399.800000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 0, 3473950.577000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 0, 3443058.837000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 0, 2788238.300000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 0, 2771718.875000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 0, 2795910.717000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 0, 3024892.326000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 0, 3039174.286000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 0, 3022801.080000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 0, 3903792.405000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 0, 3932558.242000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 0, 4003691.789000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 0, 5269485.691000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 0, 5363027.776000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 0, 4848065.728000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 0, 5139188.745000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 0, 5157266.441000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 0, 5023145.996000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 0, 6790139.037000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 0, 6581402.528000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 0, 6533725.402000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 0, 9098202.942000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 0, 8947949.395000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 0, 8525564.295000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 5, 6207526.326000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 5, 6257559.354000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 5, 6174809.785000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 5, 5794842.064000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 5, 5476426.838000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 5, 5348764.527000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 5, 4161780.681000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 5, 3751848.272000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 5, 3676844.805000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 5, 3992812.195000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 5, 3477504.268000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 5, 3740247.341000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 5, 3499244.821000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 5, 3273601.924000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 5, 3163010.250000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 5, 3345240.154000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 5, 3076308.983000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 5, 3058648.074000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 5, 3472505.207000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 5, 3123179.958000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 5, 3092660.047000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 5, 3572260.571000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 5, 3497636.064000, 1
