experiment1, DF, Allstate, MultiTree, 1, 165941044.193000
experiment1, DF, Allstate, MultiTree, 1, 166109416.804000
experiment1, DF, Allstate, MultiTree, 2, 113492787.252000
experiment1, DF, Allstate, MultiTree, 2, 89624541.263000
experiment1, DF, Allstate, MultiTree, 2, 89470889.647000
experiment1, DF, Allstate, MultiTree, 4, 74845125.079000
experiment1, DF, Allstate, MultiTree, 4, 73507161.278000
experiment1, DF, Allstate, MultiTree, 4, 74444527.892000
experiment1, DF, Allstate, MultiTree, 8, 53125602.942000
experiment1, DF, Allstate, MultiTree, 8, 53663242.684000
experiment1, DF, Allstate, MultiTree, 8, 53400775.691000
experiment1, DF, Allstate, MultiTree, 16, 38456100.577000
experiment1, DF, Allstate, MultiTree, 16, 37741273.244000
experiment1, DF, Allstate, MultiTree, 16, 39438012.156000
experiment1, DF, Allstate, MultiTree, 32, 36827908.602000
experiment1, DF, Allstate, MultiTree, 32, 36702379.034000
experiment1, DF, Allstate, MultiTree, 32, 36767840.860000
experiment1, DF-, Allstate, MultiTree, 1, 158264799.012000
experiment1, DF-, Allstate, MultiTree, 1, 152799636.402000
experiment1, DF-, Allstate, MultiTree, 1, 152409473.023000
experiment1, DF-, Allstate, MultiTree, 2, 100455055.805000
experiment1, DF-, Allstate, MultiTree, 2, 96994651.569000
experiment1, DF-, Allstate, MultiTree, 2, 92088743.184000
experiment1, DF-, Allstate, MultiTree, 4, 70619713.386000
experiment1, DF-, Allstate, MultiTree, 4, 67753460.842000
experiment1, DF-, Allstate, MultiTree, 4, 68835310.440000
experiment1, DF-, Allstate, MultiTree, 8, 50179042.805000
experiment1, DF-, Allstate, MultiTree, 8, 50190191.803000
experiment1, DF-, Allstate, MultiTree, 8, 50542969.141000
experiment1, DF-, Allstate, MultiTree, 16, 35069714.136000
experiment1, DF-, Allstate, MultiTree, 16, 36120855.392000
experiment1, DF-, Allstate, MultiTree, 16, 37813661.540000
experiment1, DF-, Allstate, MultiTree, 32, 35871720.018000
experiment1, DF-, Allstate, MultiTree, 32, 36946300.546000
experiment1, DF-, Allstate, MultiTree, 32, 35244010.620000
experiment1, Stat, Allstate, MultiTree, 1, 106770451.090000
experiment1, Stat, Allstate, MultiTree, 1, 101626299.128000
experiment1, Stat, Allstate, MultiTree, 1, 101565420.140000
